id,student,task,solved,start,end,time_spent
2942,8874,86,True,2018-01-25T08:04:54.284947Z,2018-01-25T08:05:25.489871Z,31
2946,8875,49,True,2018-01-25T08:05:08.816084Z,2018-01-25T08:05:25.504419Z,16
2924,8875,6,True,2018-01-25T08:04:10.546447Z,2018-01-25T08:04:55.791906Z,45
2996,8871,26,True,2018-01-25T08:06:16.857152Z,2018-01-25T08:06:24.738051Z,7
3031,8889,12,True,2018-01-25T08:07:00.302533Z,2018-01-25T08:08:25.455555Z,85
2956,8889,26,True,2018-01-25T08:05:34.376773Z,2018-01-25T08:05:46.401436Z,12
2930,8891,44,True,2018-01-25T08:04:25.020028Z,2018-01-25T08:05:00.396431Z,35
2944,8892,2,True,2018-01-25T08:05:05.687427Z,2018-01-25T08:05:46.823238Z,41
2967,8891,10,True,2018-01-25T08:05:47.376557Z,2018-01-25T08:06:03.319491Z,15
2981,8873,10,True,2018-01-25T08:05:59.390381Z,2018-01-25T08:06:19.568603Z,20
3014,8903,25,True,2018-01-25T08:06:36.368643Z,2018-01-25T08:06:58.711858Z,22
2972,8902,51,True,2018-01-25T08:05:53.497499Z,2018-01-25T08:06:12.318205Z,18
2965,8871,25,True,2018-01-25T08:05:45.702912Z,2018-01-25T08:06:03.982243Z,18
2968,8880,2,True,2018-01-25T08:05:47.672111Z,2018-01-25T08:06:04.153448Z,16
2991,8899,49,True,2018-01-25T08:06:10.674774Z,2018-01-25T08:06:30.057475Z,19
3010,8882,10,True,2018-01-25T08:06:32.506980Z,2018-01-25T08:06:50.797510Z,18
2990,8883,12,True,2018-01-25T08:06:10.502493Z,2018-01-25T08:06:25.074899Z,14
2952,8887,51,True,2018-01-25T08:05:23.252568Z,2018-01-25T08:05:31.392843Z,8
2914,8876,19,True,2018-01-25T08:03:45.187584Z,2018-01-25T08:05:48.799802Z,123
3003,8884,44,True,2018-01-25T08:06:20.049073Z,2018-01-25T08:06:34.981099Z,14
2977,8876,12,True,2018-01-25T08:05:56.589018Z,2018-01-25T08:06:13.561757Z,16
2938,8877,19,True,2018-01-25T08:04:41.369005Z,2018-01-25T08:07:20.127353Z,158
3005,8930,31,True,2018-01-25T08:06:21.481044Z,2018-01-25T08:07:37.271494Z,75
2926,8873,14,True,2018-01-25T08:04:12.959193Z,2018-01-25T08:05:52.110762Z,99
2980,8889,14,True,2018-01-25T08:05:59.329517Z,2018-01-25T08:06:14.666208Z,15
2994,8906,86,True,2018-01-25T08:06:11.847304Z,2018-01-25T08:06:43.431486Z,31
2953,8871,14,True,2018-01-25T08:05:25.271019Z,2018-01-25T08:05:35.820265Z,10
2978,8884,51,True,2018-01-25T08:05:58.464523Z,2018-01-25T08:06:06.381601Z,7
3019,8891,49,True,2018-01-25T08:06:42.126736Z,2018-01-25T08:06:53.880808Z,11
2960,8875,2,True,2018-01-25T08:05:36.979523Z,2018-01-25T08:05:52.544728Z,15
3001,8929,2,True,2018-01-25T08:06:19.590704Z,2018-01-25T08:15:25.191906Z,545
2937,8885,14,True,2018-01-25T08:04:40.369028Z,2018-01-25T08:06:55.039505Z,134
2928,8904,31,True,2018-01-25T08:04:22.001109Z,2018-01-25T08:05:53.032849Z,91
3011,8899,2,True,2018-01-25T08:06:34.260743Z,2018-01-25T08:06:45.429936Z,11
3008,8871,31,True,2018-01-25T08:06:31.539315Z,2018-01-25T08:06:41.470398Z,9
2988,8926,51,True,2018-01-25T08:06:10.192018Z,2018-01-25T09:28:32.192729Z,4942
3038,8888,14,True,2018-01-25T08:07:05.497312Z,2018-01-25T08:07:29.940922Z,24
2951,8912,67,False,2018-01-25T08:05:21.217151Z,2018-01-25T08:09:58.651200Z,277
2987,8888,25,True,2018-01-25T08:06:09.877344Z,2018-01-25T08:08:44.925123Z,155
3012,8894,51,True,2018-01-25T08:06:35.311973Z,2018-01-25T08:07:14.226632Z,38
2932,8881,19,True,2018-01-25T08:04:29.686212Z,2018-01-25T08:07:37.741027Z,188
3041,8880,19,True,2018-01-25T08:07:07.782774Z,2018-01-25T08:21:01.629285Z,833
2958,8882,14,True,2018-01-25T08:05:35.692880Z,2018-01-25T08:06:23.928656Z,48
2993,8913,51,True,2018-01-25T08:06:10.788865Z,2018-01-25T08:06:47.154798Z,36
3000,8876,10,True,2018-01-25T08:06:19.251743Z,2018-01-25T08:06:27.663242Z,8
3016,8931,25,True,2018-01-25T08:06:36.986714Z,2018-01-25T08:07:01.463287Z,24
2995,8904,14,True,2018-01-25T08:06:12.887257Z,2018-01-25T08:06:32.891021Z,20
2936,8886,14,True,2018-01-25T08:04:40.350832Z,2018-01-25T08:07:48.872294Z,188
3046,8941,51,True,2018-01-25T08:07:13.769099Z,2018-01-25T08:07:55.326031Z,41
3004,8891,14,True,2018-01-25T08:06:20.710999Z,2018-01-25T08:06:37.106977Z,16
3042,8879,44,True,2018-01-25T08:07:09.456246Z,2018-01-25T08:07:32.786805Z,23
3043,8871,49,True,2018-01-25T08:07:10.699440Z,2018-01-25T08:07:18.311909Z,7
2970,8907,2,True,2018-01-25T08:05:50.753544Z,2018-01-25T08:06:42.711433Z,51
3022,8870,31,True,2018-01-25T08:06:43.903074Z,2018-01-25T09:21:55.595092Z,4511
2989,8880,66,True,2018-01-25T08:06:10.225928Z,2018-01-25T08:07:01.884109Z,51
2986,8898,66,True,2018-01-25T08:06:08.601572Z,2018-01-25T08:11:57.927336Z,349
3036,8937,2,True,2018-01-25T08:07:05.134394Z,2018-01-25T08:11:40.063417Z,274
3007,8868,2,True,2018-01-25T08:06:26.893285Z,2018-01-25T08:07:06.292532Z,39
3023,8874,10,True,2018-01-25T08:06:44.702072Z,2018-01-25T08:06:57.828433Z,13
2939,8908,2,True,2018-01-25T08:04:49.992329Z,2018-01-25T08:07:04.271382Z,134
3032,8906,66,True,2018-01-25T08:07:00.658603Z,2018-01-25T08:07:28.878299Z,28
3018,8884,79,True,2018-01-25T08:06:41.359330Z,2018-01-25T08:08:43.055816Z,121
2975,8892,6,True,2018-01-25T08:05:54.202719Z,2018-01-25T08:08:21.916459Z,147
3049,8870,2,True,2018-01-25T08:07:17.610144Z,2018-01-25T08:07:33.719769Z,16
2966,8896,66,True,2018-01-25T08:05:46.965849Z,2018-01-25T08:08:56.396534Z,189
3013,8876,21,True,2018-01-25T08:06:35.482463Z,2018-01-25T08:07:39.951191Z,64
2954,8894,2,True,2018-01-25T08:05:27.992613Z,2018-01-25T08:12:59.190417Z,451
2961,8914,86,True,2018-01-25T08:05:37.265713Z,2018-01-25T08:11:10.965117Z,333
3039,8874,6,True,2018-01-25T08:07:06.195039Z,2018-01-25T08:09:03.006431Z,116
3021,8878,31,True,2018-01-25T08:06:43.343025Z,2018-01-25T08:07:55.751646Z,72
3015,8901,44,True,2018-01-25T08:06:36.781476Z,2018-01-25T08:07:14.552033Z,37
2963,8916,86,True,2018-01-25T08:05:41.717749Z,2018-01-25T08:08:11.324977Z,149
3044,8939,86,True,2018-01-25T08:07:12.013343Z,2018-01-25T08:12:30.143324Z,318
3028,8907,12,True,2018-01-25T08:06:51.302351Z,2018-01-25T08:07:18.337678Z,27
3048,8903,51,True,2018-01-25T08:07:16.871403Z,2018-01-25T08:07:24.595998Z,7
3006,8873,79,True,2018-01-25T08:06:24.909496Z,2018-01-25T08:07:12.240873Z,47
3037,8938,51,True,2018-01-25T08:07:05.206364Z,2018-01-25T08:07:36.193725Z,30
3034,8909,66,True,2018-01-25T08:07:03.020480Z,2018-01-25T08:09:08.285009Z,125
3025,8933,66,True,2018-01-25T08:06:46.754129Z,2018-01-25T08:14:12.305327Z,445
2969,8917,86,True,2018-01-25T08:05:48.282106Z,2018-01-25T08:10:05.102519Z,256
2948,8893,14,True,2018-01-25T08:05:10.661159Z,2018-01-25T08:17:40.549245Z,749
2943,8910,26,True,2018-01-25T08:05:04.758696Z,2018-01-25T08:14:16.933693Z,552
2962,8915,14,True,2018-01-25T08:05:37.540662Z,2018-01-25T08:08:52.825060Z,195
2983,8875,19,True,2018-01-25T08:06:03.343973Z,2018-01-25T08:08:15.415054Z,132
3017,8932,14,True,2018-01-25T08:06:37.391490Z,2018-01-25T08:10:23.829849Z,226
2992,8927,86,True,2018-01-25T08:06:10.730431Z,2018-01-25T08:10:14.950393Z,244
3029,8899,10,True,2018-01-25T08:06:56.018097Z,2018-01-25T08:07:33.424258Z,37
2974,8920,51,True,2018-01-25T08:05:54.107553Z,2018-01-25T08:20:38.643001Z,884
3047,8908,14,True,2018-01-25T08:07:16.249634Z,2018-01-25T08:07:35.154893Z,18
2984,8925,31,True,2018-01-25T08:06:05.206563Z,2018-01-25T08:14:02.212811Z,477
3033,8882,12,True,2018-01-25T08:07:01.400393Z,2018-01-25T08:07:40.528607Z,39
2979,8922,44,True,2018-01-25T08:05:58.916537Z,2018-01-25T08:07:51.838740Z,112
2998,8928,2,True,2018-01-25T08:06:17.092869Z,2018-01-25T08:41:18.118484Z,2101
3040,8885,12,True,2018-01-25T08:07:07.687479Z,2018-01-25T08:09:07.399637Z,119
